City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,vilyuchinsk,52.9306,158.4028,294.3,67,32,1.58,RU,1691299262
1,qui nhon,13.7667,109.2333,307.48,49,70,6.46,VN,1691299262
2,punta arenas,-53.15,-70.9167,270.94,70,43,12.46,CL,1691299263
3,hangu,39.2489,117.7892,302.17,50,24,1.84,CN,1691299265
4,hihifo,39.2489,117.7892,302.17,50,24,1.84,CN,1691299265
5,wailua homesteads,22.0669,-159.378,299.59,79,40,6.17,US,1691299266
6,port-aux-francais,-49.35,70.2167,276.1,76,81,11.81,TF,1691299266
7,damilag,8.3547,124.8122,302.26,58,11,3.01,PH,1691299268
8,waitangi,-43.9535,-176.5597,281.38,84,78,0.89,NZ,1691299269
9,jumla,29.2747,82.1838,295.2,77,99,2.37,NP,1691299001
10,enewetak,11.3474,162.3373,302.03,76,77,5.68,MH,1691299270
11,grytviken,-54.2811,-36.5092,266.04,82,100,4.41,GS,1691299270
12,anadyr,64.75,177.4833,284.43,81,20,9.0,RU,1691299270
13,shache,38.4167,77.2406,306.5,21,92,6.73,CN,1691299271
14,touros,-5.1989,-35.4608,298.2,76,11,6.67,BR,1691299271
15,vila velha,-20.3297,-40.2925,292.56,93,0,0.0,BR,1691299271
16,ushuaia,-54.8,-68.3,270.96,93,100,8.75,AR,1691299023
17,caleta de carquin,-11.0925,-77.6267,291.82,81,82,4.02,PE,1691299271
18,edinburgh of the seven seas,-37.0676,-12.3116,285.64,78,100,21.08,SH,1691299272
19,east london,-33.0153,27.9116,292.67,32,0,4.63,ZA,1691299272
20,fredericton,45.9454,-66.6656,286.72,93,20,1.54,CA,1691299272
21,utrik,11.2278,169.8474,301.65,75,55,6.94,MH,1691299273
22,merizo village,13.2658,144.6691,304.46,80,46,1.42,GU,1691299273
23,olonkinbyen,70.9221,-8.7187,276.64,97,100,10.31,SJ,1691299273
24,bilibino,68.0546,166.4372,278.83,83,100,2.86,RU,1691299273
25,puerto natales,-51.7236,-72.4875,271.87,77,100,7.82,CL,1691299274
26,invercargill,-46.4,168.35,283.16,84,89,4.02,NZ,1691299274
27,papatowai,-46.5619,169.4708,282.07,87,99,3.64,NZ,1691299274
28,suyan,6.0603,125.3853,306.48,64,65,3.14,PH,1691299274
29,bredasdorp,-34.5322,20.0403,281.72,93,26,2.8,ZA,1691299274
30,west island,-12.1568,96.8225,300.14,83,75,5.66,CC,1691299275
31,puerto baquerizo moreno,-0.9,-89.6,297.37,75,86,5.75,EC,1691298983
32,kharkhorin,47.1975,102.8238,294.57,50,40,3.07,MN,1691299275
33,vorgashor,67.5833,63.95,299.46,47,2,4.48,RU,1691299275
34,vadso,70.0744,29.7487,286.64,76,100,1.54,NO,1691299276
35,adamstown,-25.066,-130.1015,294.22,78,72,9.77,PN,1691299276
36,barrancabermeja,7.0653,-73.8547,298.26,84,97,0.29,CO,1691299026
37,puerto quijarro,-17.7833,-57.7667,296.05,40,1,0.93,BO,1691299276
38,guaruja,-23.9931,-46.2564,292.53,26,16,1.52,BR,1691299277
39,antsiranana,-12.2787,49.2917,297.01,71,71,8.26,MG,1691299277
40,wenling,28.3669,121.36,304.96,69,13,2.45,CN,1691299151
41,fale old settlement,-9.3852,-171.2468,301.69,76,11,4.28,TK,1691299277
42,port saint john's,-31.6229,29.5448,290.09,38,0,3.28,ZA,1691299277
43,albany,42.6001,-73.9662,290.04,83,86,1.92,US,1691299267
44,alice springs,-23.7,133.8833,294.9,35,0,5.14,AU,1691299278
45,presidente medici,-11.1753,-61.9014,297.46,46,1,1.76,BR,1691299278
46,sao vicente,-23.9631,-46.3919,293.3,26,11,1.44,BR,1691299278
47,padre bernardo,-15.35,-48.5,292.44,38,81,1.33,BR,1691299278
48,ilulissat,69.2167,-51.1,277.16,81,9,0.0,GL,1691299279
49,el calafate,-50.3408,-72.2768,276.13,93,47,3.62,AR,1691299279
50,rabaul,-4.1967,152.1721,300.88,73,96,8.49,PG,1691299279
51,meulaboh,4.1363,96.1285,301.93,74,97,1.15,ID,1691299279
52,blackmans bay,-43.0167,147.3167,286.77,69,96,0.95,AU,1691299280
53,pisco,-13.7,-76.2167,289.83,77,4,2.06,PE,1691299280
54,paranaiba,-19.6772,-51.1908,293.54,32,0,0.98,BR,1691299280
55,tabas,33.5959,56.9244,308.1,17,0,0.13,IR,1691299280
56,galliano,29.4422,-90.2992,302.15,79,75,1.54,US,1691299280
57,aasiaat,68.7098,-52.8699,273.42,84,9,2.87,GL,1691299281
58,taltal,-25.4,-70.4833,287.41,83,39,0.41,CL,1691299054
59,vorozhba,51.1733,34.2192,296.71,63,32,4.74,UA,1691299281
60,sinabang,2.4803,96.3801,303.14,68,57,1.46,ID,1691299281
61,lata,40.1629,-8.3327,288.19,51,0,1.37,PT,1691299281
62,kodiak,57.79,-152.4072,284.88,94,100,4.63,US,1691299209
63,puerto deseado,-47.7503,-65.8938,279.7,48,2,9.68,AR,1691299282
64,mutoko,-17.397,32.2268,283.54,85,42,1.37,ZW,1691299282
65,atafu village,-8.5421,-172.5159,301.57,75,25,3.23,TK,1691299282
66,tromso,69.6496,18.957,286.69,66,75,3.6,NO,1691299283
67,college,64.8569,-147.8028,300.14,46,40,1.54,US,1691299283
68,revda,56.801,59.9303,293.48,82,98,2.25,RU,1691299283
69,bamboo flat,11.7,92.7167,303.2,74,40,6.17,IN,1691299283
70,port elizabeth,-33.918,25.5701,288.31,94,0,5.66,ZA,1691299232
71,puerto ayora,-0.7393,-90.3518,297.34,91,76,2.68,EC,1691299284
72,st. john's,47.5649,-52.7093,288.59,87,75,3.09,CA,1691299283
73,adamus,46.3,24.2333,294.13,73,18,0.55,RO,1691299284
74,noumea,-22.2763,166.4572,295.14,75,54,7.32,NC,1691299284
75,keflavik,64.0049,-22.5624,284.39,93,75,3.09,IS,1691299284
76,hamilton,39.1834,-84.5333,298.95,81,100,1.54,US,1691298869
77,devinuwara,39.1834,-84.5333,298.95,81,100,1.54,US,1691298869
78,metlili chaamba,32.2667,3.6333,295.67,28,0,0.0,DZ,1691299285
79,klyuchi,52.2667,79.1667,292.52,84,100,3.0,RU,1691299193
80,avarua,-21.2078,-159.775,293.18,100,100,0.51,CK,1691299285
81,verkhnevilyuysk,63.4453,120.3167,298.09,36,54,3.48,RU,1691299286
82,hadibu,12.65,54.0333,299.77,75,36,13.34,YE,1691299286
83,nagqu,31.5,92.0,286.76,51,41,4.18,CN,1691299286
84,ixtapa,20.7,-105.2,301.05,89,75,0.0,MX,1691299286
85,tazovsky,67.4667,78.7,292.53,52,0,2.21,RU,1691299287
86,castlegar,49.2998,-117.6689,295.53,84,100,0.91,CA,1691299287
87,georgetown,5.4112,100.3354,305.11,73,40,4.63,MY,1691299241
88,bethel,41.3712,-73.414,295.09,82,0,1.54,US,1691299289
89,hithadhoo,-0.6,73.0833,301.83,69,100,3.57,MV,1691299280
90,whitehorse,60.7161,-135.0538,295.58,40,75,5.14,CA,1691299289
91,bardai,11.65,7.2333,294.92,92,100,3.62,NG,1691299289
92,sandnessjoen,66.0217,12.6316,280.44,70,21,2.38,NO,1691299290
93,stanley,54.868,-1.6985,282.7,92,20,2.06,GB,1691298991
94,vernon,50.2581,-119.2691,298.01,38,86,2.57,CA,1691299211
95,sorgun,39.8101,35.186,297.27,45,0,1.61,TR,1691299290
96,norilsk,69.3535,88.2027,297.83,35,22,0.82,RU,1691299290
97,molochnoye,59.2917,39.6787,294.12,69,59,1.39,RU,1691299291
98,bikenibeu village,1.3673,173.1241,305.13,70,20,2.06,KI,1691299291
99,hawaiian paradise park,19.5933,-154.9731,296.88,93,100,2.57,US,1691299291
100,tamanrasset,22.785,5.5228,302.1,24,49,3.09,DZ,1691299291
101,sechura,-5.5569,-80.8222,294.13,78,6,5.6,PE,1691299292
102,yermakovskoye,53.2831,92.4003,291.77,78,100,1.36,RU,1691299292
103,hanceville,34.0607,-86.7675,296.16,74,99,2.06,US,1691299292
104,uige,-7.6087,15.0613,287.48,69,1,1.01,AO,1691299292
105,macheng,31.1783,115.0319,308.37,58,100,2.39,CN,1691299292
106,qingyuan,23.7,113.0333,307.14,53,28,2.57,CN,1691299293
107,salinas,36.6777,-121.6555,291.49,90,0,4.63,US,1691299289
108,new norfolk,-42.7826,147.0587,287.43,68,97,1.38,AU,1691299293
109,codrington,-38.2667,141.9667,286.25,63,100,2.6,AU,1691299293
110,hammerfest,70.6634,23.6821,285.4,76,100,0.0,NO,1691299293
111,daru,-9.0763,143.2092,298.89,69,50,7.0,PG,1691299294
112,zhezqazghan,47.7833,67.7667,303.36,30,42,4.36,KZ,1691299294
113,trairi,-3.2778,-39.2689,298.28,86,53,5.12,BR,1691299294
114,taiohae,-3.2778,-39.2689,298.28,86,53,5.12,BR,1691299294
115,maxixe,-23.8597,35.3472,290.55,76,0,2.48,MZ,1691299295
116,wenchang,30.904,118.4887,307.18,64,97,2.48,CN,1691299088
117,copiapo,-27.3667,-70.3333,285.98,83,8,0.22,CL,1691299168
118,cargados carajos,-27.3667,-70.3333,285.98,83,8,0.22,CL,1691299168
119,argo,37.6333,22.7333,301.36,62,0,2.9,GR,1691299295
